"Patch","Year","PatchYear","PLM2","VSM2","PL","VS","PLVS","MelC","PhoP","CotP","State"
"1","2000","1_2000",15,1,3,3,6,0,0,NA,"0_NA_0"
"1","2001","1_2001",5,0.5,3,2,5,0,0,NA,"0_NA_0"
"1","2002","1_2002",20,0,3,0,3,0,0,NA,"0_NA_0"
"1","2003","1_2003",5,0,2,1,3,0,0,NA,"0_NA_0"
"1","2004","1_2004",3.5,3,3,3,6,1,0,0,"1_0_0"
"1","2005","1_2005",4,0.25,3,2,5,0,0,NA,"0_NA_0"
"1","2006","1_2006",5,1,3,1,4,0,0,NA,"0_NA_0"
"1","2007","1_2007",6,2,2,2,4,0,0,NA,"0_NA_0"
"1","2008","1_2008",5,0.5,2,2,4,0,0,NA,"0_NA_0"
"1","2009","1_2009",NA,NA,3,1,4,0,0,NA,"0_NA_0"
"1","2010","1_2010",NA,NA,2,1,3,0,0,NA,"0_NA_0"
"1","2011","1_2011",8,NA,3,1,4,0,1,NA,"0_NA_1"
"1","2012","1_2012",20,NA,2,1,3,1,1,0,"1_0_1"
"1","2013","1_2013",15,NA,3,2,5,2,1,0,"1_0_1"
"1","2014","1_2014",6,NA,2,0,2,0,0,NA,"0_NA_0"
"1","2015","1_2015",5,NA,2,1,3,0,2,NA,"0_NA_1"
"1","2016","1_2016",1,NA,2,1,3,0,0,NA,"0_NA_0"
"1","2017","1_2017",5,NA,2,0,2,0,2,NA,"0_NA_1"
"1","2018","1_2018",1.2,NA,2,0,2,0,0,NA,"0_NA_0"
"10","2000","10_2000",80,25,3,3,6,9,0,0,"1_0_0"
"10","2001","10_2001",30,18,3,3,6,12,0,0,"1_0_0"
"10","2002","10_2002",25,30,3,3,6,8,0,0,"1_0_0"
"10","2003","10_2003",40,60,2,3,5,8,0,0,"1_0_0"
"10","2004","10_2004",60,30,3,3,6,60,0,0,"1_0_0"
"10","2005","10_2005",50,30,3,3,6,17,0,0,"1_0_0"
"10","2006","10_2006",31,38,3,3,6,0,0,NA,"0_NA_0"
"10","2007","10_2007",20,70,2,3,5,5,0,3,"1_1_0"
"10","2008","10_2008",30.5,20,3,3,6,0,0,NA,"0_NA_0"
