"Patch","Lat","Lon","AREA","Road","X","Y"
"1",60.33,19.76,2381.477679,1,100.50252804,6709.6465055
"2",60.32,19.77,643.9975918,1,101.19569686,6709.1671822
"3",60.31,19.77,303.4797586,0,100.93197636,6708.1353502
"4",60.31,19.78,9371.804309,1,101.3531481,6707.6639977
"5",60.31,19.78,1417.37462,1,101.43748571,6707.3365548
"6",60.31,19.78,2719.52203,1,101.62265986,6707.3892653
"7",60.31,19.78,1184.349528,1,101.56941008,6707.3612066
"8",60.31,19.78,6803.78243,1,101.5815663,6707.2474565
"9",60.31,19.78,236.4920856,0,101.78820257,6707.4132881
"10",60.31,19.78,7292.413186,1,101.76638358,6707.5752165
"11",60.31,19.78,176.7218004,1,101.73999809,6707.7862402
"12",60.31,19.78,891.2054342,1,101.52831502,6707.3551088
"13",60.3,19.8,1299.022263,1,102.41751105,6707.0218939
"14",NA,NA,NA,0,NA,NA
"15",60.3,19.79,1639.189096,1,101.90976089,6706.4604909
"16",60.3,19.78,95.69251668,1,101.73360281,6706.6813699
"17",60.3,19.78,6524.114398,1,101.51431292,6706.9255542
"19",NA,NA,NA,0,NA,NA
"20",60.26,19.75,820.4394608,1,99.269229231,6702.4128619
"21",60.26,19.74,3772.468584,1,98.791774492,6702.1212042
"23",60.25,19.74,819.775349,1,98.741172427,6701.4303535
"24",60.25,19.74,2422.290263,1,98.710132437,6701.6668881
"25",60.25,19.74,597.3787736,1,98.698171732,6701.8558211
"27",60.26,19.73,5808.210755,1,98.423968808,6702.7111645
"29",60.25,19.73,10076.17733,1,98.319681198,6701.8301679
"30",60.25,19.73,317.1851602,1,98.321968404,6701.9393033
"31",60.26,19.73,50.29606155,1,98.368174927,6702.0014457
"32",60.25,19.73,2507.772231,1,98.346814055,6701.6086988
"33",60.26,19.73,313.8851645,1,98.23173451,6702.1079595
"34",NA,NA,NA,0,NA,NA
"35",NA,NA,2343.321483,1,NA,NA
"36",60.26,19.71,6762.739989,1,97.121095382,6702.8524627
"38",60.27,19.68,202.2102897,1,95.561835569,6704.2670391
"39",60.26,19.71,2014.603652,0,97.104318913,6702.7201172
"40",60.26,19.71,154.5606426,0,96.901219402,6702.8750581
"41",60.26,19.71,40167.96382,1,96.871695977,6702.6589476
"42",60.26,19.71,2801.886,1,97.240898793,6702.6032153
"43",60.26,19.71,814.34396,1,96.974547016,6702.5672256
"44",60.29,19.66,1092.227679,1,94.83827344,6706.2008884
"45",60.29,19.66,477.6078817,1,94.847562925,6706.066306
"46",60.28,19.67,1298.517716,1,95.020933549,6705.4745725
"47",60.27,19.68,888.9105999,1,95.53640642,6704.1526741
"48",60.25,19.7,655.8857074,0,96.289005957,6701.9337328
"49",60.25,19.7,2500.895562,1,96.303501974,6702.1669352
"50",60.25,19.7,3221.837462,0,96.253922414,6702.0602272
"51",60.26,19.7,1678.481076,1,96.371294896,6702.3704668
"52",60.26,19.7,633.5215299,0,96.666564777,6702.3450889
"54",60.26,19.7,4707.487382,1,96.706081744,6702.4645502
"55",60.26,19.71,319.5340945,0,97.083626813,6702.2847658
"56",60.26,19.71,183.871976,0,97.038089556,6702.2620681
"57",60.25,19.71,1835.075581,1,96.96580953,6702.0910626
"58",60.25,19.71,81.98158686,0,96.995594245,6701.9460967
"59",60.25,19.73,1835.094422,0,98.208006751,6701.3274298
"60",60.25,19.73,1723.0367,0,98.109653677,6701.3136518
"61",60.25,19.74,2809.411109,0,98.383715966,6701.2245139
"63",60.25,19.74,2934.308466,0,98.40699737,6701.3652161
"65",60.24,19.74,3636.541655,1,98.810222762,6700.4250626
"68",60.24,19.75,2890.055502,1,98.959189516,6700.4553512
"70",60.36,19.76,1934.697885,1,100.97907132,6713.756097
